setting,qs,seed,group,quantum_ood_original,classical_ood_original,delta_original,quantum_ood_ablated,classical_ood_ablated,delta_ablated,delta,ablation_change,ms,size,dataset
unsw_recon__m2_centroid__ms42__q1000_id500_ood500,42,999,unsw_recon_m2_centroid,0.9060064961039376,0.9187962783404535,-0.012789782236515945,0.9021984351749628,0.9118395718331492,-0.009641136658186444,-0.009641136658186444,0.003148645578329501,42,1000,unsw
unsw_recon__m2_centroid__ms42__q1000_id500_ood500,123,42,unsw_recon_m2_centroid,0.865997695410025,0.9037815632801998,-0.03778386787017474,0.907784392804558,0.9100767204404329,-0.0022923276358748357,-0.0022923276358748357,0.0354915402342999,42,1000,unsw
unsw_recon__m2_centroid__ms42__q1000_id500_ood500,123,123,unsw_recon_m2_centroid,0.865997695410025,0.9039540042250815,-0.037956308815056516,0.907784392804558,0.9080489917418859,-0.00026459893732788675,-0.00026459893732788675,0.03769170987772863,42,1000,unsw
unsw_recon__m2_centroid__ms42__q1000_id500_ood500,123,999,unsw_recon_m2_centroid,0.865997695410025,0.9037815632801998,-0.03778386787017474,0.907784392804558,0.9100767204404329,-0.0022923276358748357,-0.0022923276358748357,0.0354915402342999,42,1000,unsw
unsw_recon__m2_centroid__ms42__q1000_id500_ood500,999,42,unsw_recon_m2_centroid,0.8713158581116327,0.8927966158059469,-0.021480757694314234,0.8958659363588941,0.8892853808033385,0.0065805555555555895,0.0065805555555555895,0.028061313249869824,42,1000,unsw
unsw_recon__m2_centroid__ms42__q1000_id500_ood500,999,123,unsw_recon_m2_centroid,0.8713158581116327,0.8927962636932707,-0.021480405581637996,0.8958659363588941,0.8892853808033385,0.0065805555555555895,0.0065805555555555895,0.028060961137193585,42,1000,unsw
unsw_recon__m2_centroid__ms42__q1000_id500_ood500,999,999,unsw_recon_m2_centroid,0.8713158581116327,0.8927966158059469,-0.021480757694314234,0.8958659363588941,0.8892853808033385,0.0065805555555555895,0.0065805555555555895,0.028061313249869824,42,1000,unsw
unsw_recon__m2_centroid__ms42__q1000_id500_ood500,2024,42,unsw_recon_m2_centroid,0.9009661835748792,0.9155008695652174,-0.014534685990338136,0.8976650563607085,0.9045386634460548,-0.006873607085346345,-0.006873607085346345,0.0076610789049917916,42,1000,unsw
unsw_recon__m2_centroid__ms42__q1000_id500_ood500,2024,123,unsw_recon_m2_centroid,0.9009661835748792,0.9155008695652174,-0.014534685990338136,0.8976650563607085,0.9045386634460548,-0.006873607085346345,-0.006873607085346345,0.0076610789049917916,42,1000,unsw
unsw_recon__m2_centroid__ms42__q1000_id500_ood500,2024,999,unsw_recon_m2_centroid,0.9009661835748792,0.9155008695652174,-0.014534685990338136,0.8976650563607085,0.9045386634460548,-0.006873607085346345,-0.006873607085346345,0.0076610789049917916,42,1000,unsw
